"MEU DEUS 
RT @tarlouze: O Cafezinho apresenta a Lista atualizada de fracassos do governo Joo Doria  OCafezinho https://t.co/3x64kQRsjM https://t,
RT @MBLivre: Doria fez jornalista passar vergonha. https://t.co/DGuyL2M2nY,
"Lavajato vai molhar o Alckmin e, ainda que no venha a ser o caso, em breve Dria estar muito melhor nas pesquisas https://t.co/fGv0WCTVer",
"RT @DanielGuth: Kennedy Alencar: No o comove o argumento de q a velocidade agrava o ferimento e aumenta risco de morte?

Doria: No.",
Usou a poetas no topo 2 pra falar mal do Doria e do Alckmin como se eles fossem o maior problema do Brasil,
O desespero de Alckmin para conter o inevitvel: a traio de Doria rumo ao Planalto. Por Kiko Nogueira https://t.co/uy6CHuYO5e,
O que falar do Doria? Parabns prefeito pelo timo trabalho! https://t.co/oguDDwKlN1,
RT @Rconstantino: Joo Doria coloca Kennedy Alencar na lona: o prefeito no cansa de mitar https://t.co/pHghIlq2JJ,
"RT @luizavchung: Velhoo kkj melhor  o Doria plantando uma muda de Pau-Brasil pra homenagear o Lula, ja q o z dedinho ai  o maior cara de",
RT @stelles_13: #DemocraciaJ #ForaTemer #OCafezinho O Cafezinho apresenta a Lista atualizada de fracassos do governo Joo Doria https://,
"RT @implicante_org: Gesto Dria: 4 membros do ""Rede"" acionam justia contra doaes  prefeitura de So Paulo | https://t.co/7gggKEKgHA ht",
"RT @blogdojefferson: Lula chegou em Braslia de jatinho, se hospedou em hotel 5 estrelas, e foi  audincia com um batalho de advogados. L",
MITOU!!!!!!!!! https://t.co/3SVkW45xX8,
"RT @blogdojefferson: Enquanto Dilma, a impichada, viaja com assessores pagos com dinheiro pblico, Dria ir  Europa e no levar assessor",
"RT @DiarioPE: Doria no descarta candidatura  Presidncia em 2018
https://t.co/KJlbJWesWG https://t.co/IUisQPgucd",
"RT @ocafezinho: O Cafezinho apresenta a ""Lista atualizada de fracassos do governo Joo Doria"" - O Cafezinho https://t.co/1EQi51KbmE",
"@Rconstantino Joo Dria: mito, mito, mito!!!",
"RT @Dida_CRF: Li e reli a lista do janot e nada de aparecer doria e bolsonaro. 

2 turno promete ano q vem",
Mais um projeto de Doria dando resultado: o Cidade Linda deixou a Praa da S assim https://t.co/mRpkf2nDm7,
RT @tarlouze: O Cafezinho apresenta a Lista atualizada de fracassos do governo Joo Doria  OCafezinho https://t.co/3x64kQRsjM https://t,
"Velhoo kkj melhor  o Doria plantando uma muda de Pau-Brasil pra homenagear o Lula, ja q o z dedinho ai  o maior cara de pau de Brasil ",
RT @MBLivre: Doria fez jornalista passar vergonha. https://t.co/DGuyL2M2nY,
RT @paulacamara_: Dria detona Kennedy Alencar e o PT   https://t.co/CP0fVHLJmA,
RT @paulacamara_: Dria detona Kennedy Alencar e o PT   https://t.co/CP0fVHLJmA,
"Direito a greve pra qu?
Com governo Alckmin e Dria.
Voc vai trabalhar at morrer!",
"RT @Didigooo: Depois de ter Dudu e Marco repercutindo negativamente nos portais de notcia, o SBT Brasil comemora a repercusso da entrevi",
RT @MBLivre: Doria fez jornalista passar vergonha. https://t.co/DGuyL2M2nY,
"RT @blogdojefferson: Vejam s o que fizeram os adoradores do honesto, no prdio da Justia Federal. Precisa um J.Dria em Braslia pra peg",
O Cafezinho apresenta a Lista atualizada de fracassos do governo Joo Doria  OCafezinho https://t.co/3x64kQRsjM https://t.co/tP1MFKHFVN,
O Cafezinho apresenta a Lista atualizada de fracassos do governo Joo Doria  OCafezinho https://t.co/esrvGmEflA https://t.co/MoZMsrW1fm,
RT @MBLivre: Doria fez jornalista passar vergonha. https://t.co/DGuyL2M2nY,
RT @MBLivre: Doria fez jornalista passar vergonha. https://t.co/DGuyL2M2nY,
RT @UOLNoticias: Joo Doria comemora popularidade no Nordeste https://t.co/jJ3xotWYDz,
RT @Rconstantino: Joo Doria coloca Kennedy Alencar na lona: o prefeito no cansa de mitar https://t.co/pHghIlq2JJ,
"RT @JornalGGN: Doria suspende programa para deficiente auditivo criado no governo Haddad
https://t.co/RWdqpDIbbq https://t.co/lsfmaprhWr",
"@ForaMinC @OGloboPolitica eu quero q o aecio, dilma, lula, serra, alkimin, doria, ciro gomes e todo resto se foda.",
RT @Ilisp_org: Doria encerra contrato da prefeitura com empresa envolvida em corrupo naPetrobras https://t.co/AP5D7WlvUZ https://t.co/eT,
RT @MBLivre: Doria fez jornalista passar vergonha. https://t.co/DGuyL2M2nY,
RT @thatianap: O Dria tem um problema srio com a mentira. No sei q teoria do sucesso ele ta seguindo que diz pra ele fazer isso,
"RT @Anaviazan: Doria para Kennedy Alencar: ""o sr. gostaria que pichassem a porta da sua casa? transgresso no tem idade"" https://t",
"RT @prosapolitica: Doria no descarta candidatura  Presidncia em 2018
https://t.co/DZxr0XL1zw https://t.co/crO8ykVGp7",
Falo desde janeiro: ser Dria 2018. https://t.co/xec34b8leO,
"PREFEITO COMPETENTE SE FAZ ASSIM: 
CARNAVAL,SAMBA E FALTA DE REPASSE AS CRECHES:
https://t.co/RjtQ3jmEwe https://t.co/NvdJIYjCgS",
RT @Ilisp_org: Doria encerra contrato da prefeitura com empresa envolvida em corrupo naPetrobras https://t.co/AP5D7WlvUZ https://t.co/eT,
"RT @JornalOGlobo: Nada  irreversvel, diz Doria sobre Presidncia em 2018. https://t.co/mJDfZAyz6y https://t.co/05sCv7LAET",
"RT @MFalcete: @ocafezinho @robsongfreire de mdico e louco, cada um tem um pouco. Ledo engano, esse Dria  dotado , irrestritamente, da se",
"RT @trajanojorge: Dria j tinha roubado do Santo a ideia de se fantasiar, agora, tenta d-lhe o drible da vaca, passando tb pelo careca e",
"VOC SEM CRECHE-AVAR
https://t.co/RjtQ3jmEwe https://t.co/Ryk8dOoV31",
Criador e criatura. Alckmin reage a Dria e diz que ir a prvias https://t.co/2rw3if9Ml5 via @tijolaco,
Doria encerra contrato com empresa acusada de corrupo https://t.co/ldSuEqeGB9 via @VEJA.com,
"RT @santosij: @anterogreco votei no Dria e realmente 2 meses no vale nem pra experincia em empresa, imagina p/ prefeito de SP! Devagar c",
"O Cafezinho apresenta a ""Lista atualizada de fracassos do governo Joo Doria"" - O Cafezinho https://t.co/gKMuv0Jv6K",
"RT @macunaimaz: https://t.co/ciJlj1uw4q

Doria falta mais voc por ai",
"@contrateorico assim, em SP o Dria pode estar fazendo coisas q acho absurdo at, MAS TA FAZENDO ALGUMA COISA... Por isso publicidade",
"RT @trajanojorge: Dria j tinha roubado do Santo a ideia de se fantasiar, agora, tenta d-lhe o drible da vaca, passando tb pelo careca e",
